iter	Passed	Remaining
922	1559	130
923	1560	128
924	1561	126
925	1562	124
926	1563	123
927	1564	121
928	1567	119
929	1568	118
930	1569	116
931	1570	114
932	1571	112
933	1572	111
934	1573	109
935	1574	107
936	1575	105
937	1575	104
938	1576	102
939	1577	100
940	1578	98
941	1579	97
942	1580	95
943	1581	93
944	1582	92
945	1583	90
946	1584	88
947	1585	86
948	1590	85
949	1592	83
950	1593	82
951	1594	80
952	1596	78
953	1597	77
954	1603	75
955	1604	73
956	1606	72
957	1607	70
958	1608	68
959	1609	67
960	1613	65
961	1615	63
962	1616	62
963	1621	60
964	1622	58
965	1624	57
966	1625	55
967	1626	53
968	1627	52
969	1628	50
970	1636	48
971	1637	47
972	1638	45
973	1639	43
974	1640	42
975	1646	40
976	1648	38
977	1650	37
978	1651	35
979	1652	33
980	1659	32
981	1660	30
982	1662	28
983	1663	27
984	1663	25
985	1665	23
986	1670	21
987	1674	20
988	1676	18
989	1677	16
990	1683	15
991	1684	13
992	1685	11
993	1686	10
994	1688	8
995	1689	6
996	1690	5
997	1695	3
998	1697	1
999	1699	0
